tconst,primaryTitle,startYear,averageRating,numVotes
tt0055031,Judgment at Nuremberg,1961,8.3,97495
tt9179430,Vikram,2022,8.3,90241
tt26548265,Maharaja,2024,8.3,83704
tt9052870,Chhichhore,2019,8.3,73614
tt30472557,Chainsaw Man - The Movie: Reze Arc,2025,8.3,62558
tt21626284,Lost Ladies,2023,8.3,61130
tt7060344,Ratsasan,2018,8.3,60414
tt10280296,Sardar Udham,2021,8.3,50994
tt0993846,The Wolf of Wall Street,2013,8.2,1804217
tt0372784,Batman Begins,2005,8.2,1725854
tt1130884,Shutter Island,2010,8.2,1662727
tt0120382,The Truman Show,1998,8.2,1387348
tt0266697,Kill Bill: Vol. 1,2003,8.2,1314876
tt0266543,Finding Nemo,2003,8.2,1215589
tt0477348,No Country for Old Men,2007,8.2,1200547
tt0107290,Jurassic Park,1993,8.2,1186577
tt0105236,Reservoir Dogs,1992,8.2,1174691
tt0167404,The Sixth Sense,1999,8.2,1150960
tt15398776,Oppenheimer,2023,8.2,1064589
tt0268978,A Beautiful Mind,2001,8.2,1057908
tt0095016,Die Hard,1988,8.2,1033627
tt0075314,Taxi Driver,1976,8.2,1032850
tt0208092,Snatch,2000,8.2,980002
tt1392214,Prisoners,2013,8.2,945067
tt0066921,A Clockwork Orange,1971,8.2,939546
tt1745960,Top Gun: Maverick,2022,8.2,891823
tt0097576,Indiana Jones and the Last Crusade,1989,8.2,866531
tt0093058,Full Metal Jacket,1987,8.2,854004
tt0211915,Amélie,2001,8.2,843012
tt8579674,1917,2019,8.2,777326
tt0457430,Pan's Labyrinth,2006,8.2,749375
tt0469494,There Will Be Blood,2007,8.2,713296
tt6966692,Green Book,2018,8.2,694020
tt0119488,L.A. Confidential,1997,8.2,660596
tt0112641,Casino,1995,8.2,623234
tt0084787,The Thing,1982,8.2,529876
tt0347149,Howl's Moving Castle,2004,8.2,516669
tt0033467,Citizen Kane,1941,8.2,494365
tt0105695,Unforgiven,1992,8.2,469991
tt0052357,Vertigo,1958,8.2,460186
tt12042730,Project Hail Mary,2026,8.2,435377
tt0363163,Downfall,2004,8.2,401857
tt0031381,Gone with the Wind,1939,8.2,356830
tt0056592,To Kill a Mockingbird,1962,8.2,351734
tt0053291,Some Like It Hot,1959,8.2,305698
tt0070735,The Sting,1973,8.2,303537
tt0059578,For a Few Dollars More,1965,8.2,301632
tt0080678,The Elephant Man,1980,8.2,282544
tt0057115,The Great Escape,1963,8.2,278531
tt10272386,The Father,2020,8.2,247116
tt1305806,The Secret in Their Eyes,2009,8.2,243623
tt4729430,Klaus,2019,8.2,239400
tt29623480,The Wild Robot,2024,8.2,230751
tt0017136,Metropolis,1927,8.2,202037
tt0040522,Bicycle Thieves,1948,8.2,192254
tt10698680,K.G.F: Chapter 2,2022,8.2,170745
tt0089881,Ran,1985,8.2,153080
tt0042192,All About Eve,1950,8.2,149855
tt0012349,The Kid,1921,8.2,146245
tt5323662,A Silent Voice: The Movie,2016,8.2,145943
tt0055630,Yojimbo,1961,8.2,143800
tt0040897,The Treasure of the Sierra Madre,1948,8.2,142010
tt4849438,Baahubali 2: The Conclusion,2017,8.2,135383
tt8108198,Andhadhun,2018,8.2,117173
tt1954470,Gangs of Wasseypur,2012,8.2,114968
tt4430212,Drishyam,2015,8.2,110006
tt0367110,Swades,2004,8.2,106655
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,101966
tt0476735,My Father and My Son,2005,8.2,101450
tt0374887,Munna Bhai M.B.B.S.,2003,8.2,98841
tt1562872,Zindagi Na Milegi Dobara,2011,8.2,96643
tt0118849,Children of Heaven,1997,8.2,90608
tt8291224,Uri: The Surgical Strike,2019,8.2,84696
tt1645089,Inside Job,2010,8.2,82659
tt0242519,Hera Pheri,2000,8.2,81255
tt2356180,Bhaag Milkha Bhaag,2013,8.2,79457
tt2125608,Searching for Sugar Man,2012,8.2,76561
tt8239946,Tumbbad,2018,8.2,76314
tt39139925,Dhurandhar: The Revenge,2026,8.2,67179
tt10431500,Miracle in Cell No. 7,2019,8.2,63457
tt30953759,No Other Land,2024,8.2,55835
tt6148156,Vikram Vedha,2017,8.2,55724
tt15501640,Drishyam 2,2022,8.2,52588
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1333678
tt0264464,Catch Me If You Can,2002,8.1,1251096
tt0434409,V for Vendetta,2005,8.1,1250508
tt1392190,Mad Max: Fury Road,2015,8.1,1212340
tt2267998,Gone Girl,2014,8.1,1177477
tt0198781,"Monsters, Inc.",2001,8.1,1081613
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1052932
tt10872600,Spider-Man: No Way Home,2021,8.1,1033840
tt0088247,The Terminator,1984,8.1,1010091
tt2278388,The Grand Budapest Hotel,2014,8.1,978254
tt0382932,Ratatouille,2007,8.1,953816
tt3315342,Logan,2017,8.1,931476
tt2096673,Inside Out,2015,8.1,923227
tt0118715,The Big Lebowski,1998,8.1,919772
tt0892769,How to Train Your Dragon,2010,8.1,900750
tt0083658,Blade Runner,1982,8.1,885051
tt1205489,Gran Torino,2008,8.1,865617
tt0116282,Fargo,1996,8.1,790457
tt2024544,12 Years a Slave,2013,8.1,790101
tt0117951,Trainspotting,1996,8.1,770667
tt0405159,Million Dollar Baby,2004,8.1,769221
tt0073195,Jaws,1975,8.1,743415
tt0075148,Rocky,1976,8.1,694404
tt2119532,Hacksaw Ridge,2016,8.1,687799
tt0097165,Dead Poets Society,1989,8.1,660111
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.1,651077
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,611329
tt0071853,Monty Python and the Holy Grail,1975,8.1,604932
tt1950186,Ford v Ferrari,2019,8.1,577966
tt1979320,Rush,2013,8.1,562318
tt1895587,Spotlight,2015,8.1,537617
tt1291584,Warrior,2011,8.1,530907
tt1454029,The Help,2011,8.1,530395
tt0070047,The Exorcist,1973,8.1,500546
tt0092005,Stand by Me,1986,8.1,490329
tt3170832,Room,2015,8.1,482130
tt0032138,The Wizard of Oz,1939,8.1,469727
tt0096283,My Neighbor Totoro,1988,8.1,435322
tt0081398,Raging Bull,1980,8.1,411624
tt0395169,Hotel Rwanda,2004,8.1,393219
tt0077416,The Deer Hunter,1978,8.1,387403
tt0112471,Before Sunrise,1995,8.1,380722
tt0071315,Chinatown,1974,8.1,377824
tt1028532,Hachi: A Dog's Tale,2009,8.1,345174
tt0381681,Before Sunset,2004,8.1,317317
tt0059742,The Sound of Music,1965,8.1,292641
tt0052618,Ben-Hur,1959,8.1,271964
tt0353969,Memories of Murder,2003,8.1,270695
tt0129167,The Iron Giant,1999,8.1,262734
tt0050212,The Bridge on the River Kwai,1957,8.1,249490
tt3011894,Wild Tales,2014,8.1,239790
tt0113247,La haine,1995,8.1,228887
tt2338151,PK,2014,8.1,224441
tt0050976,The Seventh Seal,1957,8.1,216208
tt0072684,Barry Lyndon,1975,8.1,206350
tt4016934,The Handmaiden,2016,8.1,205862
tt0046912,Dial M for Murder,1954,8.1,205751
tt0107207,In the Name of the Father,1993,8.1,203603
tt0978762,Mary and Max,2009,8.1,202406
tt0042876,Rashomon,1950,8.1,197526
tt0041959,The Third Man,1949,8.1,196343
tt0074958,Network,1976,8.1,186489
tt0047296,On the Waterfront,1954,8.1,179510
tt14961016,I'm Still Here,2024,8.1,170134
tt0087884,"Paris, Texas",1984,8.1,142890
tt0169102,Lagaan: Once Upon a Time in India,2001,8.1,129978
tt0031679,Mr. Smith Goes to Washington,1939,8.1,129916
tt0015864,The Gold Rush,1925,8.1,128547
tt0405508,Rang De Basanti,2006,8.1,126920
tt0050986,Wild Strawberries,1957,8.1,125082
tt0025316,It Happened One Night,1934,8.1,120128
tt15327088,Kantara,2022,8.1,117421
tt0111495,Three Colors: Red,1994,8.1,116212
tt5813916,The Mountain II,2016,8.1,112887
tt3863552,Bajrangi Bhaijaan,2015,8.1,112438
tt7838252,K.G.F: Chapter 1,2018,8.1,112071
tt0032551,The Grapes of Wrath,1940,8.1,107241
tt0017925,The General,1926,8.1,105476
tt2082197,Barfi!,2012,8.1,94334
tt0871510,Chak De! India,2007,8.1,92297
tt0056217,The Man Who Shot Liberty Valance,1962,8.1,89075
tt7775622,Free Solo,2018,8.1,87937
tt1280558,A Wednesday,2008,8.1,86292
tt0046438,Tokyo Story,1953,8.1,78208
tt0169858,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,77770
tt2545118,Blackfish,2013,8.1,76757
tt0036868,The Best Years of Our Lives,1946,8.1,76599
tt0058946,The Battle of Algiers,1966,8.1,76306
tt0116231,The Bandit,1996,8.1,75619
tt0046268,The Wages of Fear,1953,8.1,73883
tt0046911,Diabolique,1955,8.1,73573
tt0020629,All Quiet on the Western Front,1930,8.1,72330
tt12888462,My Octopus Teacher,2020,8.1,71975
tt0083922,Fanny and Alexander,1982,8.1,71576
tt3322420,Queen,2013,8.1,71571
tt2283748,OMG: Oh My God!,2012,8.1,71553
tt1821480,Kahaani,2012,8.1,70222
tt0019254,The Passion of Joan of Arc,1928,8.1,68682
tt0015324,Sherlock Jr.,1924,8.1,66353
tt0073707,Sholay,1975,8.1,63522
tt0070510,Paper Moon,1973,8.1,57885
tt26439764,Kantara: A Legend - Chapter 1,2025,8.1,57871
tt0050783,Nights of Cabiria,1957,8.1,57309
tt0018455,Sunrise,1927,8.1,56866
tt2140203,Wolf Children,2012,8.1,55362
tt0074896,The Message,1976,8.1,54113
tt2991224,Tangerines,2013,8.1,51883
tt1639426,Udaan,2010,8.1,50152
tt0035446,To Be or Not to Be,1942,8.1,50056
tt0848228,The Avengers,2012,8.0,1565872
